"Nr";"Priorität";"Dokument";"Bereich";"Feld / Task";"Was ist zu tun";"Hinweis"
"1";"Hoch";"CreditNote";"Position";"countryOfOrigin";"In Update ergänzen";"Nur im Create — Update fehlt; Artikel-Fallback nur im PDF"
"2";"Hoch";"CreditNote";"Kopf";"customerOrderNumber";"In Create + Update ergänzen";"UI „Ihre Bestellnummer“ — im View, fehlt in Create/Update"
"3";"Hoch";"CreditNote";"Search";"customerOrderNumber";"In searchTerm-Volltextsuche aufnehmen";"UI „Ihre Bestellnummer“ — im View, fehlt in Create/Update"
"4";"Hoch";"CreditNote";"Position";"customFields";"In Create + Update ergänzen";"Nur Include — Schreiben fehlt"
"5";"Hoch";"CreditNote";"Kopf";"customFields (Freifelder)";"In Create + Update ergänzen";"View nur mit Include; Schreiben per API fehlt bei allen Dokumenten"
"6";"Hoch";"CreditNote";"Search";"documentAddress.email";"In searchTerm-Volltextsuche aufnehmen";"E-Mail-Suche = Standard-Use-Case (Shop-Bestellungen)"
"7";"Hoch";"CreditNote";"Search";"documentAddress.zipCode";"In searchTerm-Volltextsuche aufnehmen";"PLZ-Suche = Standard-Use-Case am Telefon"
"8";"Hoch";"CreditNote";"Kopf";"financials.paymentMethod";"In Create + Update ergänzen";"UI „Zahlungsweise“"
"9";"Hoch";"CreditNote";"Kopf";"financials.paymentTerms.paymentTargetDays";"In Create + Update ergänzen";"Zahlungsziel (Tage)"
"10";"Hoch";"CreditNote";"Kopf";"financials.paymentTerms.paymentTargetDiscount";"In Create + Update ergänzen";"Skonto (%)"
"11";"Hoch";"CreditNote";"Kopf";"financials.paymentTerms.paymentTargetDiscountDays";"In Create + Update ergänzen";"Skontofrist (Tage)"
"12";"Hoch";"CreditNote";"Position";"hsCode (Zolltarifnummer)";"In Update ergänzen";"Nur im Create — Update fehlt"
"13";"Hoch";"DeliveryNote";"Position";"countryOfOrigin";"In Update ergänzen";"Nur im Create — Update fehlt; Artikel-Fallback nur im PDF"
"14";"Hoch";"DeliveryNote";"Kopf";"customerOrderNumber";"In Create + Update ergänzen";"Im View + Filter, fehlt in Create/Update"
"15";"Hoch";"DeliveryNote";"Search";"customerOrderNumber";"In searchTerm-Volltextsuche aufnehmen";"Im View + Filter, fehlt in Create/Update"
"16";"Hoch";"DeliveryNote";"Position";"customFields";"In Create + Update ergänzen";"Nur Include — Schreiben fehlt"
"17";"Hoch";"DeliveryNote";"Kopf";"customFields (Freifelder)";"In Create + Update ergänzen";"View nur mit Include; Schreiben per API fehlt bei allen Dokumenten"
"18";"Hoch";"DeliveryNote";"Search";"documentAddress.email";"In searchTerm-Volltextsuche aufnehmen";"E-Mail-Suche = Standard-Use-Case (Shop-Bestellungen)"
"19";"Hoch";"DeliveryNote";"Search";"documentAddress.zipCode";"In searchTerm-Volltextsuche aufnehmen";"PLZ-Suche = Standard-Use-Case am Telefon"
"20";"Hoch";"DeliveryNote";"Position";"hsCode (Zolltarifnummer)";"In Update ergänzen";"Nur im Create — Update fehlt"
"21";"Hoch";"DeliveryNote";"Kopf";"shippingMethod";"In Create + Update ergänzen";"UI „Versandart“ — fehlt in Create/Update"
"22";"Hoch";"Invoice";"Position";"countryOfOrigin";"In Update ergänzen";"Nur im Create — Update fehlt; Artikel-Fallback nur im PDF"
"23";"Hoch";"Invoice";"Search";"customerOrderNumber";"In searchTerm-Volltextsuche aufnehmen";"Kein Filter vorhanden"
"24";"Hoch";"Invoice";"Position";"customFields";"In Create + Update ergänzen";"Nur Include — Schreiben fehlt"
"25";"Hoch";"Invoice";"Kopf";"customFields (Freifelder)";"In Create + Update ergänzen";"View nur mit Include; Schreiben per API fehlt bei allen Dokumenten"
"26";"Hoch";"Invoice";"Search";"documentAddress.email";"In searchTerm-Volltextsuche aufnehmen";"E-Mail-Suche = Standard-Use-Case (Shop-Bestellungen)"
"27";"Hoch";"Invoice";"Search";"documentAddress.zipCode";"In searchTerm-Volltextsuche aufnehmen";"PLZ-Suche = Standard-Use-Case am Telefon"
"28";"Hoch";"Invoice";"Kopf";"financials.paymentMethod";"In Create + Update ergänzen";"UI „Zahlungsweise“ — fehlt in Create/Update; sortierbar"
"29";"Hoch";"Invoice";"Kopf";"financials.paymentTerms.paymentTargetDays";"In Create + Update ergänzen";"Zahlungsziel (Tage)"
"30";"Hoch";"Invoice";"Kopf";"financials.paymentTerms.paymentTargetDiscount";"In Create + Update ergänzen";"Skonto (%)"
"31";"Hoch";"Invoice";"Kopf";"financials.paymentTerms.paymentTargetDiscountDays";"In Create + Update ergänzen";"Skontofrist (Tage)"
"32";"Hoch";"Invoice";"Position";"hsCode (Zolltarifnummer)";"In Update ergänzen";"Nur im Create — Update fehlt"
"33";"Hoch";"Invoice";"Search";"masterReferenceNumber";"In searchTerm-Volltextsuche aufnehmen";""
"34";"Hoch";"Invoice";"Kopf";"shippingMethod + Trackingnummer";"In View + Create + Update aufnehmen";"Rechnung hat Versandart-Spalte + Versandinfo-Zeile im PDF — im V3-Contract komplett abwesend"
"35";"Hoch";"Offer";"Position";"countryOfOrigin";"In Update ergänzen";"Nur im Create — Update fehlt; Artikel-Fallback nur im PDF"
"36";"Hoch";"Offer";"Search";"customerReference";"In searchTerm-Volltextsuche aufnehmen";"UI „Anfrage“ — Anfragenummer, die Kunden nennen"
"37";"Hoch";"Offer";"Position";"customFields";"In Create + Update ergänzen";"Nur Include — Schreiben fehlt"
