"Nr";"Priorität";"Bereich";"Fehlende API";"Was gibt es heute (verifiziert in routes/api.php + routes/v3.php)";"Benötigt für (neues Modell)";"Vorschlag Endpoint(s)"
"1";"Hoch";"Lager";"StockMovements lesen + generisch buchen (Lagerprotokoll)";"NICHTS zum Lesen; schreiben nur PATCH /storageLocations/setTotalStock (absolut) + implizite Beleg-Buchungen; stockMovementTypes nur als Katalog";"stockMovement, stockLevel, Bewertung, Audit-Trail";"GET+POST /v3/stockMovements (type receipt|issue|transfer|correction, from/to, batch/SN, source, unitCost read-only)"
"2";"Hoch";"Zahlungen";"PaymentTransactions: LIST/Query + Rechnungs-Zuordnungen (allocations)";"TEILWEISE: GET /paymentTransactions/{id} + PATCH …/status; GET+POST /v1/paymentServiceProviders/{id}/transactions; POST /v1/incomingPayments/{id}/matchTransactions — aber kein List/Filter, keine lesbaren/schreibbaren Zuordnungen Zahlung↔Rechnung";"payment (n:m allocations), salesInvoice.totals.outstanding";"GET /v3/payments?filter[…] + GET/POST /v3/payments/{id}/allocations"
"3";"Hoch";"Kommissionierung";"PickList/Kommissionierlauf ANLEGEN + Task-Bestätigung granular";"TEILWEISE (Feature-Flag Mobile-Picking): GET /pickLists, GET /pickLists/{id}, POST …/actions/start|complete, mergedLabels; mobilePickingTotes CRUD+assign — aber kein POST /pickLists (Welle nach Kriterien) und Task-Level-Pick-Bestätigung prüfen";"pickingRun.criteria (Welle), pickTask.pick mit Scans";"POST /v1/pickLists {criteria|deliveryNoteIds} + POST /pickLists/{id}/tasks/{taskId}/pick"
"4";"Hoch";"Lager";"Batches / Seriennummern / MHD als Ressourcen + Trace";"NICHTS als API — nur v3-Product-Includes (read) und interne Web-Routen (…/enrich/batches|serial-numbers)";"batch/serialNumber-Objekte, Rückruf-Trace, Garantie (SN→Kunde)";"GET /v3/batches|serialNumbers (+/{id}/trace) + Schreib-Bezug in DeliveryNote-/GoodsReceipt-Items"
"5";"Hoch";"GoBD";"Festschreibung + Storno-Gegenbeleg";"NICHTS: Schreibschutz nur als optionale Action; PATCH nach Rechnungsstellung möglich; cancel ändert nur Status";"fixedAt, cancel→Storno-Beleg (kind: cancellation), Auditierfähigkeit";"fixedAt read-only + serverseitige PATCH-Sperre; cancel-Action erzeugt Gegenbeleg mit Rückreferenz"
"6";"Prüfen";"Einkauf";"Eingangsrechnung — via BF-Entity-API wohl GEDECKT";"NEU ENTDECKT: BusinessEntity SupplierInvoice mit vollem CRUD unter /api/entity/SupplierInvoice + ProcessSteps DocumentStatus/GoodsCheck/InvoiceCheck/Payment (= Freigabe + 3-Wege-Match!); Schema via /api/metadata/SupplierInvoice. Alt: GET /v1/liabilities + Files";"purchaseInvoice mit match/approval/payment";"Verbleibende Aufgabe: Live-Verifikation + ggf. v3-Parität; sonst direkt BF-API im Core nutzen"
"7";"Mittel";"Rechnung";"eInvoice: fertiges Dokument + Status";"TEILWEISE: GET /v3/einvoice/invoices/{id}/xmlData (internes Experiment FAC-5934) + eInvoice-PaymentMethod-Config — aber kein fertiges ZUGFeRD/XRechnung-Artefakt, kein Zustell-Status";"salesInvoice.eInvoice {format, status, downloadUrl}";"GET /v3/salesInvoices/{id}/eInvoice (+status; Leitweg-ID im Create/Update)"
"8";"Mittel";"Zahlungen";"Payout/Settlement aggregiert (Gebühren, Chargebacks)";"TEILWEISE: PSP-Transactions (Rohdaten) existieren — aber keine Abrechnungs-Aggregation je Auszahlung mit Gebühren-Positionen";"payout (pot_) mit Positionen → payments/salesInvoices";"GET /v3/payouts + Settlement-Import je Provider"
"9";"Mittel";"Lager";"GoodsReceipt: Storno (List via BF gedeckt)";"NEU: BusinessEntity GoodsReceipt (Read) + ParcelReceipt (Read) unter /api/entity/… → List/Detail vorhanden! Schreiben weiter nur POST /v1/goodsReceipts; Storno fehlt";"Wareneingangsjournal ✓, Korrekturen";"Action cancel ergänzen; List über BF-API konsumieren"
"10";"Mittel";"GoBD";"Nummernkreise lesen + Lückenprotokoll";"NICHTS (nur interne Grundeinstellungen)";"numberRange, Prüferfragen";"GET /v3/numberRanges (+/gaps)"
"11";"Mittel";"GoBD";"Globaler AuditLog";"Nur activity-Include je Beleg; nichts Globales, Akteur-Auflösung (API-Key/Agent) unklar";"?expand=activity überall + Prüfer-Query";"GET /v3/auditLog?filter[object|actor|period]"
"12";"Mittel";"GoBD";"Beleg-PDF-Versionsarchiv";"Nur aktueller Render via Accept: application/pdf";"revisionssichere Versionen je Versand";"GET /v3/{beleg}/{id}/pdfVersions"
"13";"Mittel";"Stammdaten";"Verkaufspreise/Preislisten schreiben";"Nur GET /v1/salesPrices (list); Write nicht gefunden (nur v2 purchasePrices)";"priceList mit Staffeln je Kunde/Kanal";"GET+POST+PATCH /v3/priceLists(+entries)"
"14";"Mittel";"Stammdaten";"Customer-Finance schreiben + Offene-Posten-Query";"creditLimit/Liefersperre nur UI; openAmount nirgends aggregiert";"customer.finance {openAmount, creditLimit, onHold}";"PATCH customer.finance + GET /v3/customers/{id}/openItems"
"15";"Mittel";"Beleg";"Letterhead-/Briefkopf-Kontext (Bausteine via BF teilweise da)";"TEILWEISE NEU: BusinessEntities LayoutTemplate, BusinessLetterTemplate, BusinessDocumentInfoBlock, TextSnippet, Company unter /api/entity/… — aber kein pro-Beleg aufgelöster Kontext (Sprache/Projekt/Zahlungstexte/Steuersummen)";"include=letterhead → eigenes PDF-Rendering";"?expand=letterhead als aufgelöste Sicht; Rohdaten über BF-Entities konsumieren"
"16";"Niedrig";"Plattform";"Webhook-Event-Abdeckung prüfen";"VORHANDEN: /webhooks CRUD + /webhookEventTypes — offene Frage ist nur, ob alle Kern-Events (Beleg-Statuswechsel, Zahlungs-Eingang, Lager) als EventTypes existieren";"Event-Push für Headless/Layer-Cache";"Fehlende EventTypes ergänzen statt neuer API"
"17";"Niedrig";"Stammdaten";"Channel/SalesChannel Sync-Status";"TEILWEISE: SalesChannelConfiguration-Endpoints (u. a. VCS-Config) — Sync-Läufe/-Status fehlen";"channel.sync";"GET /v3/salesChannels/{id}/syncStatus"
"18";"Niedrig";"Lager";"StorageLocation-Inhalte in v3 vereinheitlichen";"FUNKTIONIERT via v1 CRUD + v2 items + v1 product-stocks (Fan-in) — nur unbequem verteilt";"stockLevel-Projektion";"GET /v3/stockLevels?filter[product|warehouse|storageLocation|batch]"
