"Nr";"Priorität";"Bereich";"Fehlende API";"Was gibt es heute (verifiziert in routes/api.php + routes/v3.php)";"Benötigt für (neues Modell)";"Vorschlag Endpoint(s)"
"1";"Erledigt";"Lager";"StockMovements LESEN — GELIEFERT (API-805); generisch buchen weiter offen";"NEU: GET /api/v3/stockMovements (isBeta, Scope stockMovement:read + Altrecht lager:allebewegungen) — Liste mit Filtern id/product.id/storageLocation.id/warehouse.id/project.id/direction/postedAt/reference/editor/causedBy.type/causedBy.id/stockMovementType.id/createdAt, Sortierung id/postedAt/quantity/createdAt, Default -id. Live verifiziert auf mvp 2026-08-16. KEIN GET /{id} (per filter[id] ersetzt), kein Schreiben. Schreiben weiter nur über die v1 storageLocation-items (Delta) — der Core orchestriert das";"stockMovement (list/read gebaut), stockLevel, Audit-Trail";"Rest-Ask: POST /v3/stockMovements (type receipt|issue|transfer|correction, from/to, batch/SN, source, unitCost read-only) + Indizes auf lager_platz und zeit (SPS-147) — ohne sie degradieren genau die Lager-platz- und Zeitraum-Filter auf großen Instanzen zum Full Table Scan"
"2";"Hoch";"Zahlungen";"PaymentTransactions: LIST/Query + Rechnungs-Zuordnungen (allocations)";"TEILWEISE: GET /paymentTransactions/{id} + PATCH …/status; GET+POST /v1/paymentServiceProviders/{id}/transactions; POST /v1/incomingPayments/{id}/matchTransactions — aber kein List/Filter, keine lesbaren/schreibbaren Zuordnungen Zahlung↔Rechnung";"payment (n:m allocations), salesInvoice.totals.outstanding";"GET /v3/payments?filter[…] + GET/POST /v3/payments/{id}/allocations"
"3";"Hoch";"Kommissionierung";"PickList/Kommissionierlauf ANLEGEN + Task-Bestätigung granular";"TEILWEISE (Feature-Flag Mobile-Picking): GET /pickLists, GET /pickLists/{id}, POST …/actions/start|complete, mergedLabels; mobilePickingTotes CRUD+assign — aber kein POST /pickLists (Welle nach Kriterien) und Task-Level-Pick-Bestätigung prüfen";"pickingRun.criteria (Welle), pickTask.pick mit Scans";"POST /v1/pickLists {criteria|deliveryNoteIds} + POST /pickLists/{id}/tasks/{taskId}/pick"
"4";"Hoch";"Lager";"Batches / Seriennummern / MHD als Ressourcen + Trace";"NICHTS als API — nur v3-Product-Includes (read) und interne Web-Routen (…/enrich/batches|serial-numbers)";"batch/serialNumber-Objekte, Rückruf-Trace, Garantie (SN→Kunde)";"GET /v3/batches|serialNumbers (+/{id}/trace) + Schreib-Bezug in DeliveryNote-/GoodsReceipt-Items"
"5";"Hoch";"GoBD";"Festschreibung + Storno-Gegenbeleg";"NICHTS: Schreibschutz nur als optionale Action; PATCH nach Rechnungsstellung möglich; cancel ändert nur Status";"fixedAt, cancel→Storno-Beleg (kind: cancellation), Auditierfähigkeit";"fixedAt read-only + serverseitige PATCH-Sperre; cancel-Action erzeugt Gegenbeleg mit Rückreferenz"
"6";"Prüfen";"Einkauf";"Eingangsrechnung — via BF-Entity-API wohl GEDECKT";"NEU ENTDECKT: BusinessEntity SupplierInvoice mit vollem CRUD unter /api/entity/SupplierInvoice + ProcessSteps DocumentStatus/GoodsCheck/InvoiceCheck/Payment (= Freigabe + 3-Wege-Match!); Schema via /api/metadata/SupplierInvoice. Alt: GET /v1/liabilities + Files";"purchaseInvoice mit match/approval/payment";"Verbleibende Aufgabe: Live-Verifikation + ggf. v3-Parität; sonst direkt BF-API im Core nutzen"
"7";"Mittel";"Rechnung";"eInvoice: fertiges Dokument + Status";"TEILWEISE: GET /v3/einvoice/invoices/{id}/xmlData (internes Experiment FAC-5934) + eInvoice-PaymentMethod-Config — aber kein fertiges ZUGFeRD/XRechnung-Artefakt, kein Zustell-Status";"salesInvoice.eInvoice {format, status, downloadUrl}";"GET /v3/salesInvoices/{id}/eInvoice (+status; Leitweg-ID im Create/Update)"
"8";"Mittel";"Zahlungen";"Payout/Settlement aggregiert (Gebühren, Chargebacks)";"TEILWEISE: PSP-Transactions (Rohdaten) existieren — aber keine Abrechnungs-Aggregation je Auszahlung mit Gebühren-Positionen";"payout (pot_) mit Positionen → payments/salesInvoices";"GET /v3/payouts + Settlement-Import je Provider"
"9";"Mittel";"Lager";"GoodsReceipt: Storno (List via BF gedeckt)";"NEU: BusinessEntity GoodsReceipt (Read) + ParcelReceipt (Read) unter /api/entity/… → List/Detail vorhanden! Schreiben weiter nur POST /v1/goodsReceipts; Storno fehlt";"Wareneingangsjournal ✓, Korrekturen";"Action cancel ergänzen; List über BF-API konsumieren"
"10";"Mittel";"GoBD";"Nummernkreise lesen + Lückenprotokoll";"NICHTS (nur interne Grundeinstellungen)";"numberRange, Prüferfragen";"GET /v3/numberRanges (+/gaps)"
